"product_id","product_name","profit_margin_percentage","profit_rank"
332,"Men's Blazer","0.95","1"
187,"Bose Soundbar 700","0.95","1"
695,"Dog Bandana","0.95","1"
679,"Activity Center","0.95","1"
483,"Waffle Maker","0.95","1"
253,"Sony WH-1000XM4 Noise Cancelling Headphones","0.95","1"
252,"HP Spectre x360 13 Laptop","0.95","1"
244,"Logitech MX Master 3S","0.95","1"
667,"Dog Travel Bowl","0.95","1"
648,"Child's Scooter","0.95","1"
297,"Microsoft Surface Pro 6","0.95","1"
196,"Bose QuietComfort 45","0.95","1"
114,"Microsoft Xbox Series X","0.95","1"
112,"TP-Link Archer AX73 Wi-Fi 6 Router","0.95","1"
620,"Train Set","0.95","1"
156,"Fitbit Inspire 3","0.95","1"
665,"Bird Feeder","0.95","1"
475,"Ice Cream Maker","0.95","1"
220,"Fitbit Luxe","0.95","1"
70,"Samsung 43-Inch 4K UHD Monitor","0.95","1"
265,"Microsoft Surface Laptop 4","0.95","1"
160,"Corsair K95 RGB Platinum","0.95","1"
199,"Jabra Elite 85t Wireless Earbuds","0.95","1"
748,"Dog Play Pen","0.95","1"
308,"Logitech G910 Orion Spectrum Keyboard","0.94","2"
582,"Bird Toy","0.94","2"
689,"Exercise Resistance Bands","0.94","2"
157,"Sony A6400 Mirrorless Camera","0.94","2"
671,"Pet Litter Mat","0.94","2"
60,"Samsung Odyssey G9","0.94","2"
84,"Samsung Galaxy Z Fold 3","0.94","2"
164,"iPad Mini (6th Gen)","0.94","2"
131,"Microsoft Surface Laptop Studio","0.94","2"
366,"Unisex Beaded Bracelet","0.94","2"
173,"Microsoft Surface Dock 2","0.93","3"
426,"Men's Work Boots","0.93","3"
446,"Blender","0.93","3"
4,"Apple AirPods Pro 2nd Gen","0.93","3"
193,"Canon EOS R6 Mirrorless Camera","0.93","3"
478,"Pizza Stone","0.93","3"
359,"Men's Casual Sneakers","0.93","3"
163,"Belkin BoostCharge 10W Wireless Charger","0.93","3"
672,"Toy Robot","0.93","3"
600,"Folding Chair","0.93","3"
41,"Dell Inspiron 15 3000","0.93","3"
487,"Meat Thermometer","0.93","3"
607,"Pet Water Fountain","0.93","3"
523,"Vegetable Peeler","0.93","3"
510,"Collapsible Dish Rack","0.93","3"
447,"Microwave Oven","0.93","3"
686,"Tennis Shorts","0.92","4"
424,"Men's Chukka Boots","0.92","4"
365,"Women's Ballet Flats","0.92","4"
628,"Running Watch","0.92","4"
333,"Women's Floral Skirt","0.92","4"
225,"Microsoft Surface Pro X","0.92","4"
241,"Razer Viper Ultimate Wireless Mouse","0.92","4"
540,"Salad Spinner","0.92","4"
673,"LEGO Star Wars Set","0.92","4"
325,"Women's Sandals","0.92","4"
738,"Art Supplies Set","0.92","4"
511,"Rolling Pin","0.92","4"
58,"Samsung Galaxy Buds2 Pro","0.92","4"
8,"Apple iMac Pro","0.92","4"
5,"Apple AirPods Pro 2nd Generation","0.92","4"
85,"Samsung Galaxy S20 Ultra","0.92","4"
603,"Resistance Bands","0.92","4"
562,"Board Game","0.91","5"
248,"Canon RF 85mm f/1.2L USM Lens","0.91","5"
697,"Pet Sling Carrier","0.91","5"
430,"Women's Faux Fur Coat","0.91","5"
707,"Kids’ Board Games","0.91","5"
586,"Dog Food","0.91","5"
514,"Serving Tray","0.91","5"
374,"Men's Fitted Blazer","0.91","5"
48,"Dell UltraSharp U4021QW Monitor","0.91","5"
521,"Wall-Mounted Bottle Opener","0.91","5"
279,"Logitech G203 Lightsync Gaming Mouse","0.91","5"
273,"Microsoft Surface Go 3","0.91","5"
271,"Canon RF 24-105mm f/4L IS USM Lens","0.90","6"
747,"Cat Tunnels","0.90","6"
215,"Anker Nebula Capsule","0.90","6"
593,"Magic Set","0.90","6"
440,"Women's Casual Flats","0.90","6"
116,"LG 27GN950-B UltraGear Monitor","0.90","6"
706,"Remote-Controlled Boat","0.90","6"
319,"Men's Casual Shorts","0.90","6"
578,"Cat Litter Box","0.90","6"
147,"ASUS TUF Gaming A15","0.90","6"
99,"Garmin Forerunner 945","0.90","6"
595,"Bike Helmet","0.90","6"
350,"Women's Capris","0.90","6"
191,"HP Omen 15 Gaming Laptop","0.90","6"
264,"Lenovo IdeaPad Gaming 3","0.90","6"
529,"Set of Measuring Spoons","0.90","6"
123,"Huawei Watch GT 3","0.90","6"
708,"Stuffed Animal Set","0.90","6"
638,"Pet GPS Tracker","0.90","6"
329,"Men's Polo Shirt","0.90","6"
71,"Samsung 55-Inch The Frame TV","0.90","6"
663,"Catnip Toys","0.90","6"
288,"Logitech C922 Pro Streaming Webcam","0.90","6"
546,"Silicone Ice Cube Molds","0.89","7"
121,"Amazon Echo Studio","0.89","7"
657,"Yoga Blocks","0.89","7"
694,"Cat Food Mat","0.89","7"
354,"Men's Sweater Vest","0.89","7"
543,"Casserole Dish Set","0.89","7"
100,"DJI Mini 2 Drone","0.89","7"
386,"Unisex Leather Gloves","0.89","7"
207,"Sony ZV-1 Compact Camera","0.89","7"
645,"Kids Camera","0.89","7"
481,"Knife Set","0.89","7"
43,"Dell XPS 17 Laptop","0.89","7"
223,"Logitech G703 Lightspeed Wireless Mouse","0.89","7"
286,"Microsoft Surface Laptop 3","0.89","7"
561,"Action Figures","0.89","7"
318,"Women's Yoga Pants","0.88","8"
432,"Women's Casual Sneakers","0.88","8"
358,"Women's Winter Scarf","0.88","8"
111,"Acer Predator Helios 300","0.88","8"
644,"Glow Sticks","0.88","8"
222,"Sony Xperia 10 III","0.88","8"
555,"Automatic Pet Feeder","0.88","8"
10,"Apple iPad 9th Gen","0.88","8"
316,"Unisex Sunglasses","0.88","8"
420,"Women's Denim Overalls","0.88","8"
209,"Bose SoundLink Flex","0.88","8"
119,"Elgato Stream Deck XL","0.88","8"
238,"Logitech G Pro X Wireless Headset","0.88","8"
137,"Logitech StreamCam","0.88","8"
228,"Razer Huntsman Elite Gaming Keyboard","0.88","8"
363,"Women's Ankle Boots","0.88","8"
704,"Action Figures Set","0.87","9"
113,"Netgear Nighthawk X6S Router","0.87","9"
55,"Samsung Galaxy Tab S8","0.87","9"
107,"Logitech MX Master 3","0.87","9"
351,"Unisex Sports Cap","0.87","9"
584,"Pet Collar","0.87","9"
564,"Play-Doh Set","0.87","9"
685,"Camping Chair","0.87","9"
589,"Nerf Blaster","0.87","9"
65,"Samsung Galaxy S22 Ultra","0.87","9"
293,"Logitech G512 Mechanical Keyboard","0.87","9"
451,"Slow Cooker","0.87","9"
330,"Women's High-Waisted Jeans","0.87","9"
81,"Samsung 32-Inch Monitor","0.87","9"
531,"Dish Brush","0.87","9"
587,"Aquarium Filter","0.87","9"
530,"Food Storage Jars","0.86","10"
87,"Samsung Galaxy Note 20","0.86","10"
437,"Men's Utility Jacket","0.86","10"
174,"TP-Link Kasa Smart Plug","0.86","10"
206,"DJI Mavic Mini 2","0.86","10"
646,"Miniature Golf Set","0.86","10"
702,"Pet Travel Bowl","0.86","10"
423,"Unisex Sports Watch","0.86","10"
184,"Logitech Brio 4K Webcam","0.86","10"
422,"Women's Summer Dress","0.86","10"
406,"Unisex Stylish Socks","0.86","10"
721,"Fitness Mat","0.86","10"
538,"Tea Canister Set","0.86","10"
476,"Reusable Food Storage Bags","0.86","10"
347,"Men's Graphic T-Shirt","0.86","10"
190,"Sony WF-1000XM4 Wireless Earbuds","0.86","10"
392,"Men's Softshell Jacket","0.85","11"
368,"Women's Sleeveless Top","0.85","11"
375,"Women's Platform Sneakers","0.85","11"
139,"Nintendo Switch Lite","0.85","11"
541,"Knife Sharpener","0.85","11"
275,"Logitech G920 Racing Wheel","0.85","11"
92,"Nintendo Switch OLED Model","0.85","11"
169,"Sony PlayStation 5 DualSense Controller","0.85","11"
144,"TP-Link Deco X20 Mesh Wi-Fi System","0.85","11"
722,"Trail Running Shoes","0.85","11"
539,"Drawer Cutlery Organizer","0.85","11"
304,"Sony A7C Mirrorless Camera","0.85","11"
129,"Bose SoundLink Mini II","0.85","11"
581,"Pet Brush","0.85","11"
457,"Espresso Machine","0.85","11"
631,"Pet Raincoat","0.85","11"
78,"Samsung Galaxy S22","0.85","11"
192,"ASUS ROG Strix G15","0.85","11"
230,"Lenovo Yoga 9i","0.85","11"
731,"Pet Thermometer","0.85","11"
352,"Men's Leather Gloves","0.85","11"
597,"Tennis Balls","0.85","11"
227,"Sony WH-CH520 Wireless Headphones","0.85","11"
152,"Logitech G Pro X Wireless Gaming Headset","0.85","11"
634,"Dog Bone","0.84","12"
154,"Microsoft Surface Pen","0.84","12"
659,"Sports Massage Roller","0.84","12"
32,"Apple TV 4K (2022)","0.84","12"
583,"Dog Treats","0.84","12"
513,"Wine Glasses Set","0.84","12"
208,"GoPro HERO11 Black","0.84","12"
24,"Apple MacBook Pro 14-inch","0.84","12"
67,"Samsung Galaxy Watch 5","0.84","12"
218,"Jabra PanaCast 50 Conference Camera","0.84","12"
63,"Samsung 27-Inch 4K Monitor","0.84","12"
17,"Apple iPhone 13 Mini","0.84","12"
324,"Men's Cargo Pants","0.84","12"
321,"Unisex Backpack","0.84","12"
407,"Men's Gym Shorts","0.84","12"
670,"Dog Cooling Vest","0.84","12"
242,"Canon RF 70-200mm f/2.8L IS USM Lens","0.84","12"
570,"Yoga Mat","0.84","12"
473,"Coffee Grinder","0.84","12"
219,"HP Envy 14 Laptop","0.84","12"
666,"Pet Toothbrush","0.84","12"
588,"Board Game","0.83","13"
371,"Unisex Knit Gloves","0.83","13"
349,"Men's Fleece Jacket","0.83","13"
506,"Cheese Board Set","0.83","13"
315,"Women's Wool Scarf","0.83","13"
516,"Pop-Up Toaster","0.83","13"
201,"Nintendo Switch Pro Controller","0.83","13"
28,"Apple Magic Keyboard with Touch ID","0.83","13"
458,"Water Filter Pitcher","0.83","13"
399,"Men's Utility Shorts","0.83","13"
162,"LG UltraWide 34-Inch Monitor","0.83","13"
106,"Razer BlackWidow V3 Mechanical Keyboard","0.83","13"
497,"Herb Scissors","0.83","13"
676,"Ride-On Toy","0.83","13"
624,"Sports Water Bottle","0.83","13"
664,"Pet Stroller","0.83","13"
104,"Lenovo ThinkPad X1 Carbon","0.83","13"
705,"Children’s Puzzle","0.83","13"
259,"Razer DeathAdder V2 Pro","0.83","13"
484,"Popcorn Maker","0.83","13"
287,"Jabra Elite 75t","0.83","13"
256,"Microsoft Surface Pro 7","0.83","13"
577,"Running Shoes","0.82","14"
749,"Pet Travel Water Bottle","0.82","14"
26,"Apple MacBook Pro 16-inch (2021)","0.82","14"
500,"Grater Set","0.82","14"
580,"Pet Shampoo","0.82","14"
479,"Griddle Pan","0.82","14"
445,"Electric Kettle","0.82","14"
52,"Dell XPS 15 Laptop","0.82","14"
474,"Tea Infuser","0.82","14"
7,"Apple iMac 27-Inch Retina","0.82","14"
537,"Spice Grinder","0.82","14"
195,"Fitbit Versa 4","0.82","14"
109,"Roku Streaming Stick 4K","0.82","14"
611,"Cat Food","0.82","14"
269,"HP Pavilion Gaming Desktop","0.82","14"
362,"Men's Corduroy Pants","0.81","15"
168,"DJI Osmo Pocket 2","0.81","15"
299,"Sony WH-XB900N Wireless Headphones","0.81","15"
736,"Kids’ Bounce House","0.81","15"
186,"GoPro HERO8 Black","0.81","15"
565,"Stuffed Animal","0.81","15"
633,"Pet Wipes","0.81","15"
25,"Apple MacBook Pro 16-inch","0.81","15"
369,"Men's Formal Trousers","0.81","15"
413,"Unisex Beaded Necklace","0.81","15"
609,"Pet Blanket","0.81","15"
317,"Men's Dress Shirt","0.81","15"
19,"Apple iPhone 14 Pro","0.81","15"
36,"Apple Watch Series 7","0.81","15"
409,"Men's Casual Polo","0.80","16"
397,"Men's Sweatpants","0.80","16"
171,"Logitech G733 Wireless Gaming Headset","0.80","16"
517,"Adjustable Cooling Rack","0.80","16"
95,"GoPro HERO10 Black","0.80","16"
553,"Pet Food Bowl","0.80","16"
438,"Women's Polka Dot Dress","0.80","16"
455,"Electric Griddle","0.80","16"
501,"Utensil Holder","0.80","16"
98,"ASUS ROG Strix Scar 15","0.80","16"
534,"Pancake Maker","0.80","16"
410,"Women's Floral Romper","0.80","16"
735,"Remote-Controlled Helicopter","0.80","16"
12,"Apple iPad Air (5th Gen)","0.80","16"
391,"Unisex Casual Belt","0.80","16"
212,"HP Spectre x360 15","0.80","16"
434,"Men's Stretch Jeans","0.80","16"
632,"Dog Pool","0.80","16"
118,"Corsair Vengeance LPX 16GB DDR4 RAM","0.80","16"
408,"Women's Silk Robe","0.80","16"
507,"Vacuum Sealer","0.80","16"
601,"Portable Grill","0.79","17"
101,"Anker PowerCore 26800 Portable Charger","0.79","17"
182,"ASUS ROG Flow X13","0.79","17"
661,"Swim Fins","0.79","17"
723,"Rock Climbing Harness","0.79","17"
14,"Apple iPad Pro 12.9-inch (4th Gen)","0.79","17"
23,"Apple MacBook Pro 13-inch (M1)","0.79","17"
134,"GoPro HERO9 Black","0.79","17"
132,"ASUS ZenBook 13","0.79","17"
718,"Baseball Helmet","0.79","17"
647,"Outdoor Playhouse","0.79","17"
80,"Samsung 49-Inch Odyssey G9 Curved Monitor","0.79","17"
40,"Dell Alienware Aurora R13","0.79","17"
730,"Dog Life Jacket","0.79","17"
618,"Play Kitchen Set","0.79","17"
210,"ASUS TUF Gaming VG27AQ Monitor","0.79","17"
462,"Cutting Board Set","0.78","18"
431,"Men's Dress Boots","0.78","18"
217,"Logitech G915 TKL Mechanical Keyboard","0.78","18"
239,"Microsoft Surface Laptop Go","0.78","18"
331,"Unisex Fitness Tracker","0.78","18"
21,"Apple MacBook Air M1","0.78","18"
